temperature	V(ntc)
2.520000000000118e+01	5.511489e-01
2.530000000000121e+01	5.502355e-01
2.540000000000123e+01	5.493222e-01
2.550000000000125e+01	5.484090e-01
2.560000000000127e+01	5.474958e-01
2.570000000000130e+01	5.465828e-01
2.580000000000132e+01	5.456699e-01
2.590000000000134e+01	5.447570e-01
2.600000000000136e+01	5.438443e-01
2.610000000000139e+01	5.429317e-01
2.620000000000141e+01	5.420193e-01
2.630000000000143e+01	5.411069e-01
2.640000000000146e+01	5.401948e-01
2.650000000000148e+01	5.392827e-01
2.660000000000150e+01	5.383709e-01
2.670000000000152e+01	5.374592e-01
2.680000000000155e+01	5.365476e-01
2.690000000000157e+01	5.356362e-01
2.700000000000159e+01	5.347251e-01
2.710000000000161e+01	5.338141e-01
2.720000000000164e+01	5.329033e-01
2.730000000000166e+01	5.319926e-01
2.740000000000168e+01	5.310822e-01
2.750000000000171e+01	5.301720e-01
2.760000000000173e+01	5.292620e-01
2.770000000000175e+01	5.283523e-01
2.780000000000177e+01	5.274428e-01
2.790000000000180e+01	5.265334e-01
2.800000000000182e+01	5.256244e-01
2.810000000000184e+01	5.247156e-01
2.820000000000186e+01	5.238070e-01
2.830000000000189e+01	5.228987e-01
2.840000000000191e+01	5.219907e-01
2.850000000000193e+01	5.210829e-01
2.860000000000196e+01	5.201755e-01
2.870000000000198e+01	5.192683e-01
2.880000000000200e+01	5.183614e-01
2.890000000000202e+01	5.174548e-01
2.900000000000205e+01	5.165485e-01
2.910000000000207e+01	5.156425e-01
2.920000000000209e+01	5.147368e-01
2.930000000000211e+01	5.138315e-01
2.940000000000214e+01	5.129265e-01
2.950000000000216e+01	5.120218e-01
2.960000000000218e+01	5.111174e-01
2.970000000000221e+01	5.102134e-01
2.980000000000223e+01	5.093098e-01
2.990000000000225e+01	5.084065e-01
3.000000000000227e+01	5.075035e-01
3.010000000000230e+01	5.066009e-01
3.020000000000232e+01	5.056987e-01
3.030000000000234e+01	5.047969e-01
3.040000000000236e+01	5.038955e-01
3.050000000000239e+01	5.029945e-01
3.060000000000241e+01	5.020938e-01
3.070000000000243e+01	5.011936e-01
3.080000000000246e+01	5.002937e-01
3.090000000000248e+01	4.993943e-01
3.100000000000250e+01	4.984953e-01
3.110000000000252e+01	4.975967e-01
3.120000000000255e+01	4.966986e-01
3.130000000000257e+01	4.958009e-01
3.140000000000259e+01	4.949037e-01
3.150000000000261e+01	4.940068e-01
3.160000000000264e+01	4.931105e-01
3.170000000000266e+01	4.922146e-01
3.180000000000268e+01	4.913191e-01
3.190000000000271e+01	4.904242e-01
3.200000000000273e+01	4.895297e-01
3.210000000000275e+01	4.886357e-01
3.220000000000277e+01	4.877422e-01
3.230000000000280e+01	4.868492e-01
3.240000000000282e+01	4.859566e-01
3.250000000000284e+01	4.850646e-01
3.260000000000286e+01	4.841731e-01
3.270000000000289e+01	4.832821e-01
3.280000000000291e+01	4.823916e-01
3.290000000000293e+01	4.815017e-01
3.300000000000296e+01	4.806123e-01
3.310000000000298e+01	4.797234e-01
3.320000000000300e+01	4.788350e-01
3.330000000000302e+01	4.779473e-01
3.340000000000305e+01	4.770600e-01
3.350000000000307e+01	4.761733e-01
3.360000000000309e+01	4.752872e-01
3.370000000000312e+01	4.744017e-01
3.380000000000314e+01	4.735167e-01
3.390000000000316e+01	4.726323e-01
3.400000000000318e+01	4.717484e-01
3.410000000000321e+01	4.708652e-01
3.420000000000323e+01	4.699826e-01
3.430000000000325e+01	4.691005e-01
3.440000000000327e+01	4.682191e-01
3.450000000000330e+01	4.673383e-01
3.460000000000332e+01	4.664581e-01
3.470000000000334e+01	4.655785e-01
3.480000000000337e+01	4.646995e-01
3.490000000000339e+01	4.638212e-01
3.500000000000341e+01	4.629435e-01
3.510000000000343e+01	4.620664e-01
3.520000000000346e+01	4.611900e-01
3.530000000000348e+01	4.603142e-01
3.540000000000350e+01	4.594391e-01
3.550000000000352e+01	4.585646e-01
3.560000000000355e+01	4.576908e-01
3.570000000000357e+01	4.568177e-01
3.580000000000359e+01	4.559453e-01
3.590000000000362e+01	4.550735e-01
3.600000000000364e+01	4.542024e-01
3.610000000000366e+01	4.533320e-01
3.620000000000368e+01	4.524623e-01
3.630000000000371e+01	4.515933e-01
3.640000000000373e+01	4.507249e-01
3.650000000000375e+01	4.498573e-01
3.660000000000377e+01	4.489904e-01
3.670000000000380e+01	4.481242e-01
3.680000000000382e+01	4.472587e-01
3.690000000000384e+01	4.463940e-01
3.700000000000387e+01	4.455300e-01
3.710000000000389e+01	4.446667e-01
3.720000000000391e+01	4.438042e-01
3.730000000000393e+01	4.429424e-01
3.740000000000396e+01	4.420813e-01
3.750000000000398e+01	4.412210e-01
3.760000000000400e+01	4.403615e-01
3.770000000000402e+01	4.395027e-01
3.780000000000405e+01	4.386447e-01
3.790000000000407e+01	4.377874e-01
3.800000000000409e+01	4.369309e-01
3.810000000000412e+01	4.360752e-01
3.820000000000414e+01	4.352203e-01
3.830000000000416e+01	4.343662e-01
3.840000000000418e+01	4.335128e-01
3.850000000000421e+01	4.326603e-01
3.860000000000423e+01	4.318085e-01
3.870000000000425e+01	4.309576e-01
3.880000000000427e+01	4.301074e-01
3.890000000000430e+01	4.292581e-01
3.900000000000432e+01	4.284096e-01
3.910000000000434e+01	4.275619e-01
3.920000000000437e+01	4.267150e-01
3.930000000000439e+01	4.258690e-01
3.940000000000441e+01	4.250238e-01
3.950000000000443e+01	4.241794e-01
3.960000000000446e+01	4.233358e-01
3.970000000000448e+01	4.224931e-01
3.980000000000450e+01	4.216513e-01
3.990000000000452e+01	4.208103e-01
4.000000000000455e+01	4.199701e-01
4.010000000000457e+01	4.191308e-01
4.020000000000459e+01	4.182924e-01
